No_bus,Kpss,Tws,Td1,Tn1,Td2,Tn2,ID
1,9.5,1.4,0.033,0.154,0.033,0.154,1
2,9.5,1.4,0.033,0.154,0.033,0.154,2
3,9.5,1.4,0.033,0.154,0.033,0.154,3
4,9.5,1.4,0.033,0.154,0.033,0.154,4
5,9.5,1.4,0.033,0.154,0.033,0.154,5
6,9.5,1.4,0.033,0.154,0.033,0.154,6
7,9.5,1.4,0.033,0.154,0.033,0.154,7
8,9.5,1.4,0.033,0.154,0.033,0.154,8
9,9.5,1.4,0.033,0.154,0.033,0.154,9
10,9.5,1.4,0.033,0.154,0.033,0.154,10
11,9.5,1.4,0.033,0.154,0.033,0.154,11
12,9.5,1.4,0.033,0.154,0.033,0.154,12
13,9.5,1.4,0.033,0.154,0.033,0.154,13
14,9.5,1.4,0.033,0.154,0.033,0.154,14
15,9.5,1.4,0.033,0.154,0.033,0.154,15
16,9.5,1.4,0.033,0.154,0.033,0.154,16